Survived,Pclass,Sex,Age,Fare,Embarked,Deck,Family_Size,Title,Ticket_Frequency
1,1,female,46-60,60-100,C,DE,Small,Miss/Mrs,2
0,3,male,46-60,0-7.5,S,FG,Alone,Mr,1
0,3,female,17-30,7.5-15,Q,FG,Small,Miss/Mrs,1
0,2,male,31-45,15-30,S,DE,Small,Mr,1
0,3,male,31-45,15-30,S,FG,Small,Mr,3
1,2,female,17-30,30-60,S,DE,Alone,Miss/Mrs,3
0,3,male,46-60,0-7.5,S,FG,Alone,Mr,4
0,3,male,17-30,0-7.5,C,FG,Alone,Mr,1
1,1,male,46-60,30-60,C,ABC,Small,Noble,2
1,2,female,17-30,15-30,S,DE,Small,Miss/Mrs,2
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,1,male,31-45,30-60,S,ABC,Alone,Mr,1
0,3,male,31-45,7.5-15,S,FG,Alone,Mr,1
1,1,male,31-45,15-30,C,ABC,Alone,Mr,1
0,3,male,31-45,15-30,S,FG,Small,Mr,1
0,3,male,31-45,7.5-15,S,FG,Alone,Mr,1
1,1,male,17-30,30-60,S,ABC,Alone,Mr,1
1,2,female,17-30,30-60,C,DE,Small,Miss/Mrs,3
1,1,female,31-45,100-250,S,ABC,Alone,Miss/Mrs,3
0,3,female,31-45,30-60,S,FG,Large,Miss/Mrs,7
0,3,male,17-30,0-7.5,S,FG,Alone,Mr,1
1,3,female,17-30,15-30,Q,FG,Small,Miss/Mrs,2
0,3,male,17-30,7.5-15,Q,FG,Alone,Mr,1
0,3,male,31-45,7.5-15,S,FG,Alone,Mr,1
1,2,female,17-30,60-100,S,DE,Small,Miss/Mrs,2
0,3,male,31-45,7.5-15,S,FG,Small,Mr,2
0,3,female,17-30,15-30,S,FG,Small,Miss/Mrs,2
1,2,female,0-16,30-60,S,FG,Small,Miss/Mrs,2
0,2,male,17-30,7.5-15,S,DE,Alone,Mr,1
0,3,male,17-30,7.5-15,C,FG,Small,Mr,2
1,1,male,31-45,30-60,S,DE,Small,Mr,1
1,3,male,17-30,15-30,C,FG,Small,Mr,2
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,3,male,17-30,15-30,S,FG,Alone,Mr,2
0,1,male,61-80,30-60,S,DE,Alone,Mr,1
0,2,male,46-60,7.5-15,Q,DE,Alone,Professional,1
1,1,female,17-30,60-100,S,DE,Alone,Miss/Mrs,3
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,3,male,17-30,7.5-15,Q,FG,Alone,Mr,1
1,1,male,,30-60,S,ABC,Alone,Mr,1
0,3,male,46-60,0-7.5,S,FG,Alone,Mr,1
1,1,male,31-45,30-60,C,ABC,Alone,Professional,1
0,1,male,31-45,0-7.5,S,ABC,Alone,Mr,1
0,3,female,0-16,15-30,S,FG,Medium,Miss/Mrs,6
1,2,female,17-30,7.5-15,S,DE,Alone,Miss/Mrs,1
0,3,male,31-45,7.5-15,S,FG,Alone,Mr,1
0,2,male,31-45,15-30,S,DE,Small,Mr,3
0,3,female,31-45,30-60,S,FG,Medium,Miss/Mrs,6
0,3,male,17-30,15-30,S,FG,Small,Mr,2
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
1,1,female,17-30,60-100,C,ABC,Alone,Miss/Mrs,2
0,3,female,0-16,15-30,S,FG,Medium,Miss/Mrs,6
1,3,male,17-30,30-60,S,FG,Alone,Mr,7
1,3,female,0-16,15-30,C,FG,Small,Miss/Mrs,4
1,1,male,46-60,60-100,C,DE,Small,Mr,3
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
1,1,male,46-60,30-60,C,ABC,Alone,Professional,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
1,3,female,17-30,7.5-15,S,FG,Alone,Miss/Mrs,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
1,2,female,17-30,15-30,S,DE,Small,Miss/Mrs,2
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
1,3,female,17-30,7.5-15,Q,FG,Alone,Miss/Mrs,1
0,3,female,17-30,0-7.5,Q,FG,Alone,Miss/Mrs,1
0,2,male,17-30,60-100,S,DE,Small,Mr,5
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,3,female,31-45,15-30,Q,FG,Small,Miss/Mrs,2
0,2,male,17-30,7.5-15,S,DE,Alone,Mr,1
0,1,male,46-60,100-250,C,DE,Small,Mr,3
1,1,male,46-60,100-250,S,ABC,Small,Professional,2
0,3,male,31-45,0-7.5,C,FG,Alone,Mr,1
0,1,male,46-60,15-30,S,DE,Alone,Mr,1
0,3,male,31-45,0-7.5,S,FG,Alone,Mr,1
1,3,male,17-30,7.5-15,S,FG,Small,Mr,1
0,2,male,31-45,60-100,S,DE,Small,Mr,5
0,2,male,17-30,7.5-15,S,DE,Alone,Mr,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,3,male,31-45,7.5-15,S,FG,Alone,Mr,1
1,1,female,31-45,30-60,S,ABC,Small,Miss/Mrs,2
1,2,female,31-45,30-60,S,DE,Small,Miss/Mrs,2
0,1,male,31-45,30-60,S,ABC,Small,Mr,1
0,2,male,61-80,7.5-15,S,DE,Alone,Mr,1
1,2,male,31-45,7.5-15,S,DE,Alone,Mr,1
0,2,male,31-45,0-7.5,S,DE,Alone,Mr,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
1,3,female,17-30,7.5-15,S,FG,Alone,Miss/Mrs,1
0,3,female,31-45,30-60,S,FG,Large,Miss/Mrs,6
1,1,male,31-45,250+,C,ABC,Small,Mr,3
0,3,female,17-30,7.5-15,Q,FG,Alone,Miss/Mrs,1
1,1,male,17-30,60-100,C,DE,Alone,Mr,3
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,3,male,0-16,30-60,S,FG,Large,Mr,6
0,2,male,61-80,30-60,S,DE,Small,Mr,2
0,2,male,17-30,30-60,C,DE,Small,Mr,3
0,3,male,0-16,30-60,S,FG,Medium,Mr,6
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
1,1,female,0-16,100-250,S,ABC,Small,Miss/Mrs,3
1,1,male,31-45,30-60,S,ABC,Small,Mr,2
1,3,female,0-16,7.5-15,C,FG,Small,Miss/Mrs,1
1,3,male,17-30,30-60,S,FG,Alone,Mr,7
0,3,male,17-30,0-7.5,C,FG,Alone,Mr,1
0,1,male,61-80,15-30,S,ABC,Alone,Professional,1
0,2,male,46-60,7.5-15,S,DE,Alone,Mr,1
0,3,male,31-45,7.5-15,S,FG,Alone,Mr,1
1,3,female,17-30,7.5-15,Q,FG,Alone,Miss/Mrs,1
0,1,male,46-60,100-250,C,ABC,Small,Mr,4
0,3,male,31-45,7.5-15,S,FG,Alone,Mr,1
1,1,female,17-30,100-250,C,ABC,Small,Miss/Mrs,4
1,1,male,31-45,15-30,S,DE,Alone,Mr,1
0,3,female,17-30,7.5-15,C,FG,Small,Miss/Mrs,2
0,3,male,17-30,7.5-15,Q,FG,Alone,Mr,1
0,3,male,17-30,7.5-15,S,FG,Small,Mr,1
0,2,male,31-45,15-30,S,DE,Alone,Mr,2
1,2,female,46-60,7.5-15,S,DE,Alone,Miss/Mrs,1
1,1,male,31-45,15-30,S,DE,Alone,Mr,1
1,1,female,17-30,100-250,S,ABC,Alone,Miss/Mrs,4
1,3,male,17-30,15-30,C,FG,Small,Master,2
1,1,female,17-30,30-60,C,ABC,Alone,Miss/Mrs,1
0,1,male,31-45,15-30,S,ABC,Alone,Mr,1
1,1,male,46-60,30-60,S,ABC,Small,Mr,2
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,2,male,46-60,7.5-15,S,DE,Alone,Mr,2
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
1,1,female,31-45,100-250,C,ABC,Alone,Miss/Mrs,4
1,2,female,17-30,7.5-15,S,DE,Alone,Miss/Mrs,1
0,3,male,17-30,15-30,Q,FG,Alone,Mr,1
0,3,male,31-45,7.5-15,S,FG,Alone,Mr,1
1,2,female,0-16,30-60,S,DE,Small,Miss/Mrs,3
0,3,male,17-30,0-7.5,S,FG,Small,Mr,1
0,2,male,31-45,7.5-15,S,DE,Alone,Mr,1
0,2,male,46-60,7.5-15,S,DE,Alone,Mr,1
1,1,male,17-30,30-60,S,DE,Small,Mr,2
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
1,2,female,31-45,15-30,S,DE,Small,Miss/Mrs,2
1,3,female,17-30,7.5-15,Q,FG,Alone,Miss/Mrs,1
0,2,male,17-30,15-30,S,DE,Small,Mr,1
0,3,female,17-30,7.5-15,S,FG,Small,Miss/Mrs,1
1,1,female,17-30,100-250,S,ABC,Alone,Miss/Mrs,3
0,3,male,0-16,15-30,C,FG,Alone,Mr,2
0,2,male,31-45,0-7.5,S,DE,Alone,Mr,1
0,2,male,17-30,7.5-15,S,DE,Alone,Mr,1
0,2,male,17-30,7.5-15,S,DE,Alone,Mr,1
0,3,male,17-30,15-30,S,FG,Alone,Mr,2
0,3,female,46-60,30-60,S,FG,Medium,Miss/Mrs,4
1,1,male,31-45,250+,C,ABC,Alone,Mr,3
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
1,1,male,31-45,30-60,S,DE,Alone,Mr,1
0,1,male,31-45,60-100,S,ABC,Small,Mr,2
1,1,female,17-30,250+,C,ABC,Medium,Miss/Mrs,2
0,3,male,17-30,15-30,S,FG,Small,Mr,1
1,3,male,31-45,7.5-15,S,FG,Alone,Mr,1
0,1,male,61-80,60-100,S,ABC,Small,Professional,2
0,3,male,17-30,15-30,S,FG,Small,Mr,2
1,2,female,31-45,7.5-15,S,DE,Alone,Miss/Mrs,1
0,1,male,17-30,30-60,S,DE,Small,Mr,1
0,3,male,31-45,7.5-15,Q,FG,Alone,Mr,1
1,2,female,0-16,15-30,S,DE,Small,Miss/Mrs,1
1,3,male,0-16,7.5-15,S,DE,Small,Master,2
0,3,male,31-45,7.5-15,S,FG,Alone,Mr,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
1,2,female,46-60,60-100,S,DE,Small,Miss/Mrs,2
1,2,male,0-16,7.5-15,S,DE,Small,Master,2
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,2,male,17-30,7.5-15,S,DE,Alone,Mr,1
0,3,male,31-45,7.5-15,S,FG,Alone,Mr,1
1,1,female,31-45,60-100,S,ABC,Alone,Noble,3
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,2
0,3,male,31-45,0-7.5,S,FG,Alone,Mr,1
1,3,male,17-30,0-7.5,C,FG,Alone,Mr,1
1,1,female,31-45,100-250,S,ABC,Small,Miss/Mrs,4
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
1,1,female,46-60,60-100,S,DE,Small,Miss/Mrs,3
0,1,male,31-45,30-60,C,ABC,Alone,Professional,1
0,3,female,31-45,7.5-15,Q,FG,Alone,Miss/Mrs,1
0,3,male,17-30,15-30,Q,FG,Small,Mr,3
0,3,male,31-45,7.5-15,S,FG,Alone,Mr,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,3,male,46-60,7.5-15,S,FG,Alone,Mr,1
0,2,female,46-60,7.5-15,S,DE,Alone,Miss/Mrs,2
0,3,male,17-30,0-7.5,C,FG,Alone,Mr,1
1,2,female,46-60,15-30,S,DE,Medium,Miss/Mrs,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,3,male,17-30,7.5-15,Q,FG,Alone,Mr,1
1,3,female,0-16,7.5-15,S,FG,Alone,Miss/Mrs,2
0,3,male,17-30,7.5-15,Q,FG,Alone,Mr,1
1,1,female,31-45,100-250,S,ABC,Small,Miss/Mrs,3
1,3,female,0-16,0-7.5,C,FG,Alone,Miss/Mrs,1
1,1,female,17-30,30-60,S,ABC,Small,Miss/Mrs,2
0,1,male,17-30,30-60,S,DE,Alone,Mr,1
0,3,male,17-30,15-30,S,FG,Small,Mr,2
0,3,male,17-30,0-7.5,S,FG,Alone,Mr,1
0,3,male,17-30,0-7.5,S,FG,Alone,Mr,1
1,3,female,17-30,0-7.5,S,FG,Alone,Miss/Mrs,1
0,3,male,0-16,15-30,Q,FG,Medium,Master,5
1,3,male,0-16,15-30,S,FG,Small,Master,2
0,1,male,46-60,60-100,C,ABC,Alone,Mr,2
0,3,male,17-30,7.5-15,Q,FG,Alone,Mr,1
0,2,male,17-30,15-30,S,DE,Alone,Mr,2
0,3,female,17-30,60-100,S,FG,Large,Miss/Mrs,7
0,1,male,31-45,30-60,C,ABC,Alone,Mr,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,2,male,31-45,7.5-15,S,DE,Alone,Mr,1
1,1,female,46-60,15-30,S,DE,Alone,Professional,1
1,3,female,31-45,7.5-15,S,FG,Alone,Miss/Mrs,1
0,3,male,31-45,0-7.5,C,FG,Alone,Mr,1
0,3,female,31-45,15-30,S,FG,Small,Miss/Mrs,3
0,2,male,31-45,7.5-15,S,DE,Alone,Mr,2
1,2,female,31-45,15-30,S,DE,Small,Miss/Mrs,3
1,1,male,0-16,100-250,S,ABC,Small,Master,4
1,3,male,0-16,7.5-15,C,FG,Small,Master,1
1,3,male,17-30,0-7.5,S,FG,Alone,Mr,1
0,3,male,31-45,7.5-15,S,FG,Alone,Mr,1
0,1,male,31-45,0-7.5,S,ABC,Alone,Mr,1
0,3,female,17-30,7.5-15,S,FG,Alone,Miss/Mrs,1
0,2,male,31-45,7.5-15,S,DE,Alone,Mr,1
1,1,female,31-45,30-60,S,DE,Small,Miss/Mrs,2
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,3,male,31-45,15-30,S,FG,Alone,Mr,2
0,2,male,31-45,7.5-15,S,DE,Alone,Mr,1
0,3,female,0-16,30-60,S,FG,Large,Miss/Mrs,7
0,3,male,31-45,7.5-15,S,FG,Alone,Mr,1
0,1,male,31-45,0-7.5,S,ABC,Alone,Mr,1
0,3,female,17-30,7.5-15,S,FG,Alone,Miss/Mrs,1
0,2,male,31-45,30-60,C,DE,Small,Mr,2
0,3,male,31-45,0-7.5,S,FG,Alone,Mr,1
0,3,male,0-16,15-30,S,FG,Medium,Master,6
1,1,female,46-60,60-100,S,ABC,Small,Miss/Mrs,2
1,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,1,male,31-45,0-7.5,S,ABC,Alone,Noble,1
1,3,female,17-30,7.5-15,S,DE,Small,Miss/Mrs,2
0,3,male,0-16,30-60,S,FG,Medium,Master,6
0,3,male,17-30,0-7.5,Q,FG,Alone,Mr,1
0,3,male,17-30,30-60,S,FG,Alone,Mr,7
1,2,male,0-16,30-60,C,DE,Small,Master,2
1,3,male,17-30,7.5-15,Q,FG,Alone,Mr,1
1,1,female,61-80,60-100,S,ABC,Alone,Miss/Mrs,2
1,3,female,0-16,7.5-15,C,FG,Small,Miss/Mrs,2
1,2,male,0-16,15-30,S,DE,Small,Master,3
0,3,male,17-30,0-7.5,C,FG,Alone,Mr,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
1,1,female,31-45,60-100,C,DE,Small,Miss/Mrs,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
1,3,male,31-45,30-60,S,FG,Alone,Mr,7
1,1,male,31-45,15-30,C,ABC,Alone,Mr,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,2,male,17-30,7.5-15,S,DE,Alone,Mr,2
1,1,female,31-45,30-60,C,ABC,Alone,Miss/Mrs,2
0,3,male,31-45,0-7.5,C,FG,Alone,Mr,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,3,male,31-45,7.5-15,S,FG,Alone,Mr,1
0,3,male,17-30,60-100,S,FG,Large,Mr,7
0,3,male,31-45,7.5-15,C,FG,Alone,Mr,1
0,2,male,17-30,30-60,S,DE,Small,Professional,3
1,1,female,31-45,60-100,C,ABC,Small,Miss/Mrs,2
0,3,male,0-16,30-60,S,FG,Large,Master,7
0,3,male,61-80,7.5-15,S,FG,Alone,Mr,1
0,3,female,0-16,15-30,C,FG,Small,Miss/Mrs,2
1,1,female,17-30,30-60,S,DE,Small,Miss/Mrs,1
0,2,female,31-45,15-30,S,DE,Small,Miss/Mrs,2
1,3,female,17-30,7.5-15,S,FG,Small,Miss/Mrs,1
1,1,female,46-60,100-250,S,ABC,Small,Miss/Mrs,2
1,1,male,46-60,15-30,S,DE,Alone,Mr,1
1,3,female,17-30,15-30,C,FG,Small,Miss/Mrs,4
0,3,male,17-30,0-7.5,C,FG,Alone,Mr,1
0,3,male,31-45,7.5-15,S,FG,Small,Mr,1
0,2,male,17-30,7.5-15,S,DE,Small,Mr,1
1,1,female,46-60,15-30,S,DE,Alone,Miss/Mrs,1
0,3,female,17-30,60-100,S,FG,Large,Miss/Mrs,7
0,2,male,17-30,7.5-15,S,DE,Alone,Mr,1
1,2,female,31-45,7.5-15,S,DE,Alone,Miss/Mrs,1
1,2,female,17-30,7.5-15,C,DE,Small,Miss/Mrs,1
0,1,male,31-45,30-60,S,ABC,Alone,Mr,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
1,3,male,0-16,7.5-15,S,FG,Small,Master,3
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
1,1,female,46-60,30-60,S,DE,Small,Miss/Mrs,2
0,1,male,31-45,0-7.5,S,ABC,Alone,Mr,1
0,3,male,46-60,7.5-15,S,FG,Alone,Mr,1
1,2,female,17-30,15-30,C,DE,Small,Miss/Mrs,2
1,3,female,0-16,0-7.5,C,FG,Alone,Miss/Mrs,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,2
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
0,3,male,17-30,7.5-15,S,FG,Alone,Mr,1
1,1,female,46-60,60-100,C,ABC,Small,Miss/Mrs,2
1,2,female,17-30,15-30,S,DE,Small,Miss/Mrs,2
0,3,male,31-45,7.5-15,S,FG,Alone,Mr,1
0,3,female,17-30,7.5-15,S,FG,Alone,Miss/Mrs,1
0,2,male,17-30,7.5-15,S,DE,Alone,Mr,1
0,3,male,17-30,0-7.5,S,FG,Alone,Mr,1
0,3,female,31-45,15-30,Q,FG,Medium,Miss/Mrs,5
0,2,male,17-30,7.5-15,S,DE,Alone,Professional,1
1,1,female,17-30,30-60,S,ABC,Alone,Miss/Mrs,1
0,3,female,17-30,15-30,S,FG,Small,Miss/Mrs,2
1,1,male,17-30,30-60,C,ABC,Alone,Mr,1
0,3,male,31-45,7.5-15,Q,FG,Alone,Mr,1
